rank,url,pathname,lastmod,days_since_update,intent_tier,intent_score,recency_score,priority_score,recommended_action,recommended_destination,rationale
1,https://gameye.com/unity-multiplay-migration/,/unity-multiplay-migration/,2026-02-17T23:34:09+00:00,0,Critical Revenue,98,100,98.6,migrate_or_redirect_before_cutover,https://gameye.com/blog/how-to-move-from-unity-game-server-hosting-to-gameye/,High conversion/commercial intent URL with direct pipeline impact.
2,https://gameye.com/comparison/gameye-vs-edgegap-best-edgegap-alternative-2026/,/comparison/gameye-vs-edgegap-best-edgegap-alternative-2026/,2026-02-18T04:04:46+00:00,0,Critical Revenue,98,100,98.6,migrate_or_redirect_before_cutover,https://gameye.com/comparison/gameye-vs-edgegap/,High conversion/commercial intent URL with direct pipeline impact.
3,https://gameye.com/comparison/hathora/,/comparison/hathora/,2026-01-30T15:16:54+00:00,18,Critical Revenue,98,90,95.6,migrate_or_redirect_before_cutover,https://gameye.com/comparison/gameye-vs-hathora/,High conversion/commercial intent URL with direct pipeline impact.
4,https://gameye.com/comparison/aws-gamelift/,/comparison/aws-gamelift/,2026-01-30T15:16:19+00:00,18,Critical Revenue,98,90,95.6,migrate_or_redirect_before_cutover,https://gameye.com/comparison/gameye-vs-gamelift/,High conversion/commercial intent URL with direct pipeline impact.
5,https://gameye.com/comparison/agones/,/comparison/agones/,2026-01-30T15:16:31+00:00,18,Critical Revenue,98,90,95.6,migrate_or_redirect_before_cutover,https://gameye.com/comparison/gameye-vs-agones/,High conversion/commercial intent URL with direct pipeline impact.
6,https://gameye.com/pricing-2026/,/pricing-2026/,2026-01-27T22:02:13+00:00,21,Critical Revenue,98,88.33,95.1,migrate_or_redirect_before_cutover,https://gameye.com/pricing/,High conversion/commercial intent URL with direct pipeline impact.
7,https://gameye.com/observability-platform/,/observability-platform/,2025-12-15T14:03:33+00:00,64,Critical Revenue,98,64.44,87.93,migrate_or_redirect_before_cutover,https://gameye.com/platform/,High conversion/commercial intent URL with direct pipeline impact.
8,https://gameye.com/get-access/,/get-access/,2025-12-13T21:55:04+00:00,66,Critical Revenue,98,63.33,87.6,migrate_or_redirect_before_cutover,https://gameye.com/contact-us/,High conversion/commercial intent URL with direct pipeline impact.
9,https://gameye.com/infrastructure-cost-audit/,/infrastructure-cost-audit/,2025-12-12T19:33:42+00:00,67,Critical Revenue,98,62.78,87.43,migrate_or_redirect_before_cutover,https://gameye.com/pricing/,High conversion/commercial intent URL with direct pipeline impact.
10,https://gameye.com/privacy-policy/,/privacy-policy/,2025-12-01T17:09:39+00:00,78,Critical Compliance,100,56.67,87,publish_or_redirect_before_cutover,https://gameye.com/,Legal/compliance URL currently missing; requires explicit launch handling.
